model_name,precision,quant_method,dataset,tokens_per_second,accuracy,num_examples,ece,MCE,Brier_Score,Avg_Entropy,is_pareto
llama1-7b-nf4-kd-Tt3_Ts1,4bit,nf4,pubmedqa,314.00233025722844,0.5090000033378601,1000,0.033488089799880986,0.2814728220303853,0.249190554022789,0.9351650476455688,True
llama1-7b-nf4-kd-Tt3_Ts2,4bit,nf4,pubmedqa,310.08521319213236,0.5289999842643738,1000,0.1541822990477085,0.3506767749786377,0.2835446000099182,0.7429053783416748,True
llama1-7b-nf4-kd-Tt4_Ts2,4bit,nf4,pubmedqa,307.1936615665484,0.5270000100135803,1000,0.12514731013774869,0.37147900462150574,0.27203771471977234,0.8003125190734863,True
llama1-7b-nf4-kd-Tt4_Ts3,4bit,nf4,pubmedqa,308.8393518111066,0.531000018119812,1000,0.18713894727826122,0.38956361015637714,0.29637807607650757,0.6794852614402771,True
llama1-7b-nf4-kd-Tt5_Ts2,4bit,nf4,pubmedqa,313.0319230568359,0.5170000195503235,1000,0.11992892131209373,0.3724442422389984,0.2672378718852997,0.8130704760551453,True
llama2-13b-nf4-kd-Tt2_Ts1,4bit,nf4,pubmedqa,247.70010335272477,0.4740000069141388,1000,0.11347267386317254,0.23692582933991047,0.25908032059669495,0.889587938785553,False
llama2-13b-nf4-kd-Tt3_Ts1,4bit,nf4,pubmedqa,246.91889547265146,0.4580000042915344,1000,0.07643018731474875,0.3200290103753408,0.25197646021842957,0.9515045285224915,False
llama2-13b-nf4-kd-Tt3_Ts2,4bit,nf4,pubmedqa,244.24355985472187,0.4790000021457672,1000,0.1786826973855495,0.3030227562960456,0.28144872188568115,0.7775634527206421,False
llama2-13b-nf4-kd-Tt4_Ts2,4bit,nf4,pubmedqa,245.81715328129573,0.46799999475479126,1000,0.1445276257097721,0.3251519948244095,0.26857244968414307,0.8429718017578125,False
llama2-13b-nf4-kd-Tt4_Ts3,4bit,nf4,pubmedqa,247.51660666172293,0.48100000619888306,1000,0.20431543213129047,0.37364061176776886,0.2911328673362732,0.7255129814147949,False
llama2-13b-nf4-kd-Tt5_Ts2,4bit,nf4,pubmedqa,248.72695981500024,0.4659999907016754,1000,0.12118385753035545,0.28968980514778275,0.26279979944229126,0.8768496513366699,False
mistral-7b-nf4-kd-Tt2_Ts1,4bit,nf4,pubmedqa,261.790515722871,0.45899999141693115,1000,0.12351271072030069,0.8829775452613831,0.2731071710586548,0.8883799314498901,False
mistral-7b-nf4-kd-Tt3_Ts1,4bit,nf4,pubmedqa,259.0702044470222,0.3370000123977661,1000,0.26787722221016885,0.4589350916243888,0.30183789134025574,0.9303959012031555,False
mistral-7b-nf4-kd-Tt3_Ts2,4bit,nf4,pubmedqa,259.0204775923794,0.45500001311302185,1000,0.20752434337139133,0.6029234925905864,0.3060966432094574,0.7285510897636414,False
mistral-7b-nf4-kd-Tt4_Ts2,4bit,nf4,pubmedqa,269.92173078212807,0.3779999911785126,1000,0.1790510609149933,0.6894367677824838,0.28813931345939636,0.9457817673683167,False
mistral-7b-nf4-kd-Tt4_Ts3,4bit,nf4,pubmedqa,263.29050958921135,0.4580000042915344,1000,0.19572627127170567,0.4201252791616652,0.2990075647830963,0.7604659795761108,False
mistral-7b-nf4-kd-Tt5_Ts2,4bit,nf4,pubmedqa,263.1380519789563,0.421999990940094,1000,0.1554416847229004,0.884074941277504,0.2851617932319641,0.9046241044998169,False
llama1-7b,4bit,awq,pubmedqa,349.49908789266044,0.5389999747276306,1000,0.25524898275732993,0.37363339326028056,0.328621506690979,0.568489670753479,False
llama1-7b,16bit,fp16,pubmedqa,389.641672305416,0.5360000133514404,1000,0.23921381667256358,0.6493523418903351,0.3217989504337311,0.5922653675079346,True
llama1-7b,4bit,gptq,pubmedqa,1292.269203376956,0.5389999747276306,1000,0.24018901139497756,0.4264217563904822,0.3219291865825653,0.6024338603019714,True
llama1-7b,8bit,gptq,pubmedqa,1214.384101548914,0.5350000262260437,1000,0.2310249907970429,0.3863754653181706,0.32051336765289307,0.5974223613739014,True
llama1-7b,4bit,nf4,pubmedqa,221.54788041206623,0.5320000052452087,1000,0.24686869859695432,0.4114136377426043,0.32459723949432373,0.5675195455551147,False
mistral-7b,awq,4bit,pubmedqa,335.0289727652901,0.492000013589859,1000,0.066738405585289,0.9391446113586426,0.2502215504646301,0.9337484240531921,True
mistral-7b,fp16,16bit,pubmedqa,621.6839325806264,0.4909999966621399,1000,0.22929775568842886,0.3302866783667737,0.30207547545433044,0.6561475396156311,True
mistral-7b,gptq,4bit,pubmedqa,276.91729140134976,0.49300000071525574,1000,0.07658198702335359,0.3024217701620525,0.25162118673324585,0.9380746483802795,False
mistral-7b,gptq,8bit,pubmedqa,272.53087355704497,0.460999995470047,1000,0.10325618889927862,0.9444513320922852,0.25065943598747253,0.9237365126609802,False
mistral-7b,nf4,4bit,pubmedqa,213.0004269658393,0.48100000619888306,1000,0.23607318410277367,0.33002518815919757,0.30431225895881653,0.6634960770606995,False
llama2-13b,awq,4bit,pubmedqa,288.56701309487255,0.4699999988079071,1000,0.24256515040993687,0.38874064283828214,0.3143249750137329,0.6737704277038574,False
llama2-13b,gptq,4bit,pubmedqa,660.8913131231749,0.47200000286102295,1000,0.2217973176538944,0.3827679582264112,0.3076631724834442,0.70546555519104,True
llama2-13b,gptq,8bit,pubmedqa,233.75499807839662,0.4729999899864197,1000,0.22839809119701382,0.34483703330298454,0.30769842863082886,0.6961725950241089,False
llama2-13b,nf4,4bit,pubmedqa,201.29334821141958,0.46700000762939453,1000,0.24003664895892143,0.3904987744518093,0.30970022082328796,0.6868094205856323,False
llama2-13b,fp16,16bit,pubmedqa,527.5410090992398,0.4699999988079071,1000,0.2292564452290535,0.3248418515378778,0.3073028028011322,0.6979327201843262,False
